full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,162995,162995,25311,96,96,13,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,55417,55417,9130,17,17,5,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8967,8967,14527,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1226,1226,2204,1,1,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,40086,40086,3314,33,33,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,47136,47136,4634,28,28,2,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32666,32666,2606,5,5,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24853,24853,2458,12,12,0,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,765,765,1119,0,0,0,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3033,3033,3760,2,2,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2180,2180,3484,0,0,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17893,17893,2039,11,11,1,https://github.com/VoltAgent/awesome-claude-code-subagents
Donchitos/Claude-Code-Game-Studios,14888,14888,2116,72,72,13,https://github.com/Donchitos/Claude-Code-Game-Studios
anthropics/claude-code-action,7207,7207,1741,4,4,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9241,9241,1655,12,12,2,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9540,9540,1216,4,4,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1853,1853,1389,3,3,1,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8772,8772,657,2,2,1,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,757,757,1739,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2198,2198,2192,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7862,7862,580,5,5,1,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,961,961,1967,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5814,5814,535,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2881,2881,665,2,2,0,https://github.com/lintsinghua/claude-code-book
OneRedOak/claude-code-workflows,3782,3782,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,557,557,1287,0,0,0,https://github.com/huangserva/claude-code-cli
1rgs/claude-code-proxy,3464,3464,457,-1,-1,0,https://github.com/1rgs/claude-code-proxy
anthropics/skills,121651,121651,14155,66,66,13,https://github.com/anthropics/skills
777genius/claude-code-source-code,899,899,1121,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3544,3544,598,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3965,3965,378,0,0,0,https://github.com/zebbern/claude-code-guide
qwibitai/nanoclaw,27633,27633,12548,6,6,12,https://github.com/qwibitai/nanoclaw
Maciek-roboblog/Claude-Code-Usage-Monitor,7670,7670,386,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1419,1419,577,2,2,1,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,3789,3789,516,8,8,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
