full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,169618,169618,26280,105,105,20,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,57269,57269,9401,32,32,7,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9050,9050,14572,2,2,3,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1266,1266,2261,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,41761,41761,3510,23,23,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,49203,49203,4884,68,68,7,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,33195,33195,2661,2,2,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,26286,26286,2620,58,58,3,https://github.com/davila7/claude-code-templates
Alishahryar1/free-claude-code,17808,17808,2503,123,123,23,https://github.com/Alishahryar1/free-claude-code
LING71671/Open-ClaudeCode,790,790,1141,0,0,0,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3071,3071,3775,1,1,0,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,16569,16569,2405,27,27,6,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,18691,18691,2134,12,12,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2201,2201,3493,0,0,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7340,7340,1771,1,1,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9671,9671,1720,4,4,0,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9585,9585,1218,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,2092,2092,1485,6,6,2,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8910,8910,666,4,4,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,763,763,1743,0,0,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,8010,8010,586,2,2,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2318,2318,2245,0,0,2,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,1005,1005,2047,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5850,5850,543,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
